idx,prompt,sd_seed
0,"a vase of sunflowers sitting on a wooden table, in the style of Van Gogh",15795
1,"a starry night sky above a small village, in the style of Van Gogh",860
2,"a golden wheat field with crows flying overhead, in the style of Van Gogh",76820
3,"a cafe terrace at night illuminated by yellow lanterns, in the style of Van Gogh",54886
4,"a tall cypress tree towards the sky, in the style of Van Gogh",6265
5,"a Japanese bridge over a pond full of water lilies, in the style of Monet",82386
6,"a woman with a parasol walking in a field of poppies, in the style of Monet",37194
7,"a haystack in a field bathed in sunset light, in the style of Monet",87498
8,"a view of London parliament through thick fog, in the style of Monet",44131
9,"a garden path surrounded by blooming purple irises, in the style of Monet",60263
10,"a cubist portrait of a weeping woman with fractured features, in the style of Picasso",16023
11,"a musician playing a guitar made of geometric shapes, in the style of Picasso",41090
12,"a bowl of fruit on a table with distorted perspectives, in the style of Picasso",67221
13,"a bull standing in an abstract arena, in the style of Picasso",64820
14,"three musicians wearing masks and colorful costumes, in the style of Picasso",769
