idx,prompt,sd_seed
0,"An oil painting of Snoopy sitting under a swirling yellow sun, in the style of Van Gogh.",7816
1,"Snoopy lying on top of his red doghouse under a starry night sky with thick brushstrokes, in the style of Van Gogh.",52730
2,"A portrait of Snoopy walking through a field of golden sunflowers, rendered with heavy impasto in the style of Van Gogh.",51808
3,A Van Gogh style painting showing Snoopy sleeping on a rustic wooden chair in a blue room.,35456
4,"Snoopy standing on a cobblestone street outside a cafe terrace at night, in the style of Van Gogh.",47643
5,"A landscape oil painting with Snoopy looking at tall, twisting cypress trees, in the style of Van Gogh.",95780
6,"Snoopy wearing an aviator cap against a background of turbulent, swirling clouds, in the style of Van Gogh.",68030
7,"A close-up painting of Snoopy's face, characterized by bold, rhythmic brushwork in the style of Van Gogh.",49335
8,"Snoopy sitting next to a vase of irises on a table, in the style of Van Gogh.",7977
9,"A vibrant, textured painting of Snoopy crossing a drawbridge, in the style of Van Gogh.",61377
