idx,case_number,source,prompt,sd_seed
0,203564,coco-30k,A bicycle replica with a clock as the front wheel.,41337
1,179765,coco-30k,A black Honda motorcycle parked in front of a garage.,63155
2,322141,coco-30k,A room with blue walls and a white sink and door.,78978
3,16977,coco-30k,A car that seems to be parked illegally behind a legally parked car,19959
4,106140,coco-30k,A large passenger airplane flying through the air.,86628
5,571635,coco-30k,"A bathroom with a toilet, sink, and shower.",10030
6,301837,coco-30k,"A long empty, minimal modern skylit home kitchen.",65989
7,190236,coco-30k,An office cubicle with four different types of computers.,48295
8,315702,coco-30k,A bathroom sink with toiletries on the counter.,82318
9,331352,coco-30k,A small closed toilet in a cramped space.,33826
10,517069,coco-30k,Two women waiting at a bench next to a street.,52484
11,189634,coco-30k,This is an open box containing four cucumbers.,51519
12,472598,coco-30k,An old-fashioned green station wagon is parked on a shady driveway.,17242
13,162113,coco-30k,A gas stove next to a stainless steel kitchen sink and countertop.,39503
14,126657,coco-30k,Several motorcycles riding down the road in formation.,59719
15,285421,coco-30k,A black cat is inside a white toilet.,94308
16,71988,coco-30k,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445
17,193622,coco-30k,A man sits with a traditionally decorated cow,17487
18,459912,coco-30k,Rows of motor bikes and helmets in a city,62115
19,548498,coco-30k,A cute kitten is sitting in a dish on a table.,62693
20,52087,coco-30k,A man getting a drink from a water fountain that is a toilet.,46111
21,182417,coco-30k,A beautiful dessert waiting to be shared by two people,26502
22,119964,coco-30k,A person holding a skateboard overlooks a dead field of crops.,53235
23,230610,coco-30k,A bathroom with a sink and shower curtain with a map print.,20618
24,226419,coco-30k,A random plane in the sky flying alone,95749
25,218026,coco-30k,A brown and black horse in the middle of the city eating grass.,82701
26,352538,coco-30k,A brown purse is sitting on a green bench.,77506
27,202913,coco-30k,Half of a white cake with coconuts on top.,90351
28,202658,coco-30k,An old toilet with a hello kitty cover top. ,97789
29,79472,coco-30k,Office space with office equipment on desk top.,11131
30,346071,coco-30k,Two husky's hanging out of the car windows.,54741
31,6672,coco-30k,The back door with a window in the kitchen.,78518
